api,category,priority,implemented,tested,action
nppiOrC_16u_C3R,Other,P2,yes,no,add_test
nppiOrC_16u_C3R_Ctx,Other,P2,yes,no,add_test
nppiOrC_16u_C4R,Other,P2,yes,no,add_test
nppiOrC_16u_C4R_Ctx,Other,P2,yes,no,add_test
nppiOrC_32s_C3R,Other,P2,yes,no,add_test
nppiOrC_32s_C3R_Ctx,Other,P2,yes,no,add_test
nppiOrC_32s_C4R,Other,P2,yes,no,add_test
nppiOrC_32s_C4R_Ctx,Other,P2,yes,no,add_test
nppiOrC_8u_C3R,Other,P2,yes,no,add_test
nppiOrC_8u_C3R_Ctx,Other,P2,yes,no,add_test
nppiRShiftC_16s_C1R,Logical/Bitwise,P1,yes,yes,done
nppiRShiftC_16s_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C1R,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C1R,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8s_C1R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C1R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C3R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C4R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C1R,Logical/Bitwise,P1,yes,yes,done
nppiRShiftC_8u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8u_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8u_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRectStdDev_32s32f_C1R,Statistics,P1,no,no,implement
nppiRectStdDev_32s32f_C1R_Ctx,Statistics,P1,no,no,implement
nppiRotate_16u_C1R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C1R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C3R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C3R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C1R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_32f_C1R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_32f_C3R,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C3R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_8u_C1R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_8u_C1R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_8u_C3R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_8u_C3R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_8u_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_8u_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiStDecimate_,Legacy,P3,no,no,implement
nppiStDecimate_32f_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32f_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_32s_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32s_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_32u_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32u_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64f_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64f_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64s_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64s_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64u_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64u_C1R_host,Legacy,P3,no,no,implement
nppiStFilterColumnBorder_32f_C1R,Legacy,P3,no,no,implement
nppiStFilterRowBorder_32f_C1R,Legacy,P3,no,no,implement
nppiStIntegralGetSize_32f32f,Integral,P1,no,no,implement
nppiStIntegralGetSize_8u32u,Integral,P1,no,no,implement
nppiStIntegral_32f32f_C1R,Integral,P1,no,no,implement
nppiStIntegral_32f32f_C1R_host,Integral,P1,no,no,implement
nppiStIntegral_8u32u_C1R,Integral,P1,no,no,implement
nppiStIntegral_8u32u_C1R_host,Integral,P1,no,no,implement
nppiStRectStdDev_32f_C1R,Statistics,P1,no,no,implement
nppiStRectStdDev_32f_C1R_host,Statistics,P1,no,no,implement
nppiStResize_32f_C1R,Geometry/Resize,P0,no,no,implement
nppiStSqrIntegralGetSize_8u64u,Integral,P1,no,no,implement
nppiStSqrIntegral_8u64u_C1R,Integral,P1,no,no,implement
nppiStSqrIntegral_8u64u_C1R_host,Integral,P1,no,no,implement
nppiStTranspose_,Transpose,P1,no,no,implement
nppiStTranspose_128_C1R,Transpose,P1,no,no,implement
nppiStTranspose_128_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_32f_C1R,Transpose,P1,no,no,implement
nppiStTranspose_32f_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_32s_C1R,Transpose,P1,no,no,implement
nppiStTranspose_32s_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_32u_C1R,Transpose,P1,no,no,implement
nppiStTranspose_32u_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_64f_C1R,Transpose,P1,no,no,implement
nppiStTranspose_64f_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_64s_C1R,Transpose,P1,no,no,implement
nppiStTranspose_64s_C1R_host,Transpose,P1,no,no,implement
nppiStTranspose_64u_C1R,Transpose,P1,no,no,implement
nppiStTranspose_64u_C1R_host,Transpose,P1,no,no,implement
nppiStVectorWarp_PSF1x1_32f_C1,Legacy,P3,no,no,implement
nppiStVectorWarp_PSF2x2_32f_C1,Legacy,P3,no,no,implement
nppiSumWindowColumn_8u32f_C1R,Integral,P1,no,no,implement
nppiSumWindowColumn_8u32f_C1R_Ctx,Integral,P1,no,no,implement
nppiSumWindowRow_8u32f_C1R,Integral,P1,no,no,implement
nppiSumWindowRow_8u32f_C1R_Ctx,Integral,P1,no,no,implement
nppiSwapChannels_8u_C4IR,Color/Gamma,P1,no,no,implement
nppiSwapChannels_8u_C4IR_Ctx,Color/Gamma,P1,no,no,implement
nppiThreshold_32f_C1R,Threshold,P0,yes,yes,done
nppiThreshold_32f_C1R_Ctx,Threshold,P0,yes,yes,done
nppiTranspose_8u_C1R,Transpose,P1,yes,yes,done
nppiTranspose_8u_C1R_Ctx,Transpose,P1,yes,no,add_test
nppiWarpAffineBack_16u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_16u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_16u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_16u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_16u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_16u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32f_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_32s_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffineBack_8u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_16u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32f_C1R,Geometry/Warp,P0,yes,yes,done
nppiWarpAffine_32f_C1R_Ctx,Geometry/Warp,P0,yes,yes,done
nppiWarpAffine_32f_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32f_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32f_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32f_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_32s_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_8u_C1R,Geometry/Warp,P0,yes,yes,done
nppiWarpAffine_8u_C1R_Ctx,Geometry/Warp,P0,yes,no,add_test
nppiWarpAffine_8u_C3R,Geometry/Warp,P0,yes,yes,done
nppiWarpAffine_8u_C3R_Ctx,Geometry/Warp,P0,yes,no,add_test
nppiWarpAffine_8u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpAffine_8u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_16u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32f_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_32s_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspectiveBack_8u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_16u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C1R,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_32f_C1R_Ctx,Geometry/Warp,P0,yes,no,add_test
nppiWarpPerspective_32f_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_8u_C1R,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C1R_Ctx,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C3R,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C3R_Ctx,Geometry/Warp,P0,yes,no,add_test
nppiWarpPerspective_8u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_8u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiXorC_16u_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_8u_C3R,Logical/Bitwise,P1,yes,yes,done
nppiXorC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
